time;Y
00:00,0;0,437025
00:00,0;0,433231
00:00,0;0,429905
00:00,0;0,427056
00:00,0;0,424694
00:00,0;0,422826
00:00,0;0,421456
00:00,0;0,42059
00:00,0;0,420228
00:00,0;0,420372
00:00,0;0,421021
00:00,0;0,422171
00:00,0;0,423819
00:00,0;0,425958
00:00,0;0,428581
00:00,0;0,431679
00:00,0;0,43524
00:00,0;0,439253
00:00,0;0,443704
00:00,0;0,448577
00:00,0;0,453857
00:00,0;0,459525
00:00,0;0,465561
00:00,0;0,471947
00:00,0;0,47866
00:00,0;0,485678
00:00,0;0,492977
00:00,0;0,500532
00:00,0;0,508319
00:00,0;0,516312
00:00,0;0,524482
00:00,0;0,532805
00:00,0;0,54125
00:00,0;0,549791
00:00,0;0,558399
00:00,0;0,567044
00:00,0;0,575699
00:00,0;0,584334
00:00,0;0,59292
00:00,0;0,601428
00:00,0;0,609831
00:00,0;0,6181
00:00,0;0,626207
00:00,0;0,634126
00:00,0;0,64183
00:00,0;0,649292
00:00,0;0,656488
00:00,0;0,663394
00:00,0;0,669987
00:00,0;0,676243
00:00,0;0,682143
00:00,0;0,687667
00:00,0;0,692794
00:00,0;0,697509
00:00,0;0,701795
00:00,0;0,705637
00:00,0;0,709022
00:00,0;0,711939
00:00,0;0,714376
00:00,0;0,716326
00:00,0;0,717781
00:00,0;0,718736
00:00,0;0,719187
00:00,0;0,719132
00:00,0;0,71857
00:00,0;0,717502
00:00,0;0,715931
00:00,0;0,713862
00:00,0;0,711301
00:00,0;0,708254
00:00,0;0,704732
00:00,0;0,700745
00:00,0;0,696305
00:00,0;0,691426
00:00,0;0,686123
00:00,0;0,680414
00:00,0;0,674314
00:00,0;0,667845
00:00,0;0,661026
00:00,0;0,653878
00:00,0;0,646425
00:00,0;0,638689
00:00,0;0,630695
00:00,0;0,622469
00:00,0;0,614036
00:00,0;0,605424
00:00,0;0,59666
00:00,0;0,587771
00:00,0;0,578785
00:00,0;0,569732
00:00,0;0,56064
00:00,0;0,551537
00:00,0;0,542454
00:00,0;0,533417
00:00,0;0,524458
00:00,0;0,515603
00:00,0;0,506881
00:00,0;0,498319
00:00,0;0,489945
00:00,0;0,481785
00:00,0;0,473865
00:00,0;0,46621
00:00,0;0,458845
00:00,0;0,451791
00:00,0;0,445073
00:00,0;0,43871
00:00,0;0,432723
00:00,0;0,42713
00:00,0;0,42195
00:00,0;0,417197
00:00,0;0,412887
00:00,0;0,409033
00:00,0;0,405646
00:00,0;0,402737
00:00,0;0,400315
00:00,0;0,398387
00:00,0;0,396958
00:00,0;0,396032
00:00,0;0,395611
00:00,0;0,395695
00:00,0;0,396285
00:00,0;0,397376
00:00,0;0,398964
00:00,0;0,401045
00:00,0;0,403609
00:00,0;0,406647
00:00,0;0,41015
00:00,0;0,414104
00:00,0;0,418497
00:00,0;0,423312
00:00,0;0,428533
00:00,0;0,434143
00:00,0;0,440122
00:00,0;0,44645
00:00,0;0,453105
